Rxn,cytosol,plastid,plasma membrane,mitochondria,peroxisome,vacuole,thylakoid,inner mitochondrial matrix
2_7_1_148_RXN,0,1,0,0,0,0,0,0
2_4_1_195_RXN,1,0,0,0,0,0,0,0
3_1_3_62_RXN,1,0,0,0,0,0,0,0
RXN1F_462,1,0,0,0,0,0,0,0
RXN_707,1,0,0,0,0,0,0,0
CINNAMATE_GLUCOSYLTRANSFERASE_RXN,1,0,0,0,0,0,0,0
RXN0_2381,0,1,0,0,0,0,0,0
RXN_13192,1,0,0,0,0,0,0,0
RXN_13190,1,0,0,0,0,0,0,0
RXN_13191,0,1,0,0,1,0,0,0
RXN_13197,0,1,0,0,0,0,0,0
rxn_11961,1,0,0,0,0,0,0,0
3_1_1_23_RXN,1,1,1,0,1,0,0,0
RXN0_5515,1,0,0,0,0,0,0,0
RXNQT_4389,1,0,0,0,0,0,0,0
RXNQT_4388,1,0,0,0,0,0,0,0
RXN_6102,1,0,0,1,0,0,0,0
RXNQT_4383,1,0,0,0,0,0,0,0
RXNQT_4382,1,1,0,0,0,0,0,0
PSERTRANSAMPYR_RXN,0,1,0,0,0,0,0,0
RXNQT_4386,1,0,0,0,0,0,0,0
RXNQT_4385,1,0,0,0,0,0,0,0
PANTOTHENATE_KIN_RXN,0,1,0,0,0,0,0,0
4_2_2_2_RXN,1,0,0,0,0,0,0,0
RXN_9190,1,0,0,0,0,0,0,0
RXN_12332,1,0,0,1,0,0,0,0
RXN_5471,1,0,0,0,0,0,0,0
RXN_5470,1,0,0,0,0,0,0,0
UNSPECIFIC_MONOOXYGENASE_RXN,1,0,0,0,0,0,0,0
Citrullinetrans_m2,0,0,0,0,0,0,0,0
RXN_2581,1,0,0,0,0,0,0,0
CAFFEOYL_COA_O_METHYLTRANSFERASE_RXN,1,0,0,0,0,0,0,0
3_OXO_5_BETA_STEROID_4_DEHYDROGENASE_RXN,1,0,0,0,0,0,0,0
DIACYLGLYCEROL_O_ACYLTRANSFERASE_RXN,0,1,0,0,0,0,0,0
RXN_7183,1,1,0,1,0,0,0,0
RXN_7185,1,0,0,0,0,0,0,0
RXN_7184,1,0,0,0,0,0,0,0
2TRANSKETO_RXN,1,1,0,0,0,0,0,0
ARYLESTERASE_RXN,1,0,0,0,0,0,0,0
RXN_3221,1,1,0,0,0,0,0,0
RXN66_14,0,0,1,0,0,0,0,0
PROCOLLAGEN_PROLINE_3_DIOXYGENASE_RXN,1,0,0,0,0,0,0,0
2_7_7_11_RXN,1,0,0,0,0,0,0,0
RXN_7699,0,0,0,0,1,0,0,0
QUEUOSINE_TRNA_RIBOSYLTRANSFERASE_RXN,1,0,0,0,0,0,0,0
RXN_9589,0,0,1,0,0,0,0,0
ACID_PHOSPHATASE_RXN,1,0,0,0,0,0,0,0
RXN_8562,1,0,0,0,0,0,0,0
R146_RXN,1,0,0,0,0,0,0,0
poplar_biomas,0,0,0,0,0,0,0,0
RXN_8568,1,0,0,0,0,0,0,0
IMIDPHOSDEHYD_RXN,0,1,0,0,0,0,0,0
1_14_11_2_RXN,1,0,0,0,0,0,0,0
ARABISOM_RXN,1,0,0,0,0,0,0,0
RXN_7719,1,0,0,0,0,0,0,0
NAD_SYNTH_GLN_RXN,1,0,0,0,0,0,0,0
3_HYDROXYDECANOYL_ACP_DEHYDR_RXN,0,1,0,0,0,0,0,0
2_7_7_30_RXN,1,0,0,0,0,0,0,0
RXN_17475,1,0,0,0,0,0,0,0
BILIRUBIN_OXIDASE_RXN,1,0,0,0,0,0,0,0
R01665,1,0,0,0,0,0,0,0
2_7_1_151_RXN,1,0,0,0,0,0,0,0
2_4_1_117_RXN,1,0,0,0,0,0,0,0
RXN_7710,1,0,0,0,0,0,0,0
RXN0_5186,1,0,0,0,0,0,0,0
PYRROLINECARBREDUCT_RXN,1,1,0,1,1,0,0,0
GDPREDUCT_RXN,1,0,0,0,0,0,0,0
RXN_12486,1,0,0,0,0,0,0,0
4_3_1_17_RXN,1,0,0,0,0,0,0,0
N_ACYLNEURAMINATE_9_PHOSPHATASE_RXN,0,0,0,1,0,0,0,0
RXN_8163,1,0,0,0,0,0,0,0
DTDPKIN_RXN,0,1,0,0,0,0,0,0
DCTP_DEAM_RXN,0,1,0,0,0,0,0,0
ETHANOLAMINE_KINASE_RXN,1,0,0,0,0,0,0,0
RXN_1241,1,0,0,1,0,0,0,0
2_4_1_141_RXN,1,0,0,0,0,0,0,0
RXN_12002,1,1,0,1,0,0,0,0
RXN_9344,1,0,0,0,0,0,0,0
CONIFERIN_BETA_GLUCOSIDASE_RXN,1,0,0,0,0,0,0,0
FUMHYDR_RXN,0,0,0,1,0,0,0,0
RXN_13398,0,1,0,0,0,0,0,0
2_ISOPROPYLMALATESYN_RXN,0,1,0,0,0,0,0,0
3_2_1_55_RXN,1,1,0,0,0,0,0,0
RXN_12799,1,0,0,0,0,0,0,0
DHHB_METHYLTRANSFER_RXN,1,0,0,0,0,0,0,0
RXN3O_458,1,0,0,0,0,0,0,0
ALCOHOL_O_ACETYLTRANSFERASE_RXN,1,0,0,0,0,0,0,0
rxn_13202,0,0,0,1,0,0,0,0
GALACTURONOKINASE_RXN,1,0,0,0,0,0,0,0
URATE_OXIDASE_RXN,0,0,0,0,1,0,0,0
GART_RXN,0,1,0,0,0,0,0,0
R02020,1,0,0,0,0,0,0,0
ACYLPYRUVATE_HYDROLASE_RXN,0,0,0,1,0,0,0,0
RXN_11112,1,0,0,0,0,0,0,0
RXN_12645,1,0,0,0,0,0,0,0
GMP_SYN_GLUT_RXN,1,1,0,0,0,0,0,0
RXN_12642,1,0,0,0,0,0,0,0
mzrxn28,0,0,0,0,0,0,0,0
mzrxn29,0,0,0,0,0,0,0,0
RXN_11846,1,0,0,0,0,0,0,0
mzrxn27,0,0,0,0,0,0,0,0
mzrxn24,0,0,0,0,0,0,0,0
mzrxn25,0,0,0,0,0,0,0,0
2_7_7_13_RXN,1,0,0,0,0,0,0,0
mzrxn23,0,0,0,0,0,0,0,0
P_PANTOCYSDECARB_RXN,0,1,0,0,0,0,0,0
mzrxn21,0,0,0,0,0,0,0,0
RXN_14981,1,0,0,0,1,0,0,0
MR00431,1,0,0,0,0,0,0,0
2_7_8_15_RXN,1,0,0,0,0,0,0,0
1_14_13_36_RXN,1,0,0,0,0,0,0,0
RXN_9015,1,0,0,1,0,0,0,0
RXN_11209,0,1,0,0,0,0,0,0
325_BISPHOSPHATE_NUCLEOTIDASE_RXN,0,1,0,0,0,0,0,0
GLYCINE_AMINOTRANSFERASE_RXN,0,1,0,0,0,0,0,0
4_HYDROXY_2_KETOPIMELATE_LYSIS_RXN,1,0,0,0,0,0,0,0
RXN_15236,1,0,0,0,1,0,0,0
QOR_RXN,1,0,0,0,0,0,0,0
3_2_1_152_RXN,0,0,0,0,0,1,0,0
2KETO_4METHYL_PENTANOATE_DEHYDROG_RXN,0,0,0,1,0,0,0,0
RXN6666_2,1,0,0,0,0,0,0,0
RXN_14187,1,1,0,0,0,0,0,0
RXN_14181,0,1,0,0,0,0,0,0
CHORISMATEMUT_RXN,1,1,0,0,0,0,0,0
RXN_5110,1,0,0,0,0,0,0,0
RXN_1101,1,0,0,0,0,0,0,0
RXN_1103,1,0,0,0,0,0,0,0
RXN_1102,1,0,0,0,0,0,0,0
RXN_1104,1,0,0,0,1,0,0,0
RXN_1106,1,0,0,0,0,0,0,0
LYSOPHOSPHOLIPASE_RXN,1,0,0,0,0,0,0,0
THIOREDOXIN_REDUCT_NADPH_RXN,1,1,0,0,0,0,0,0
3_2_1_37_RXN,1,0,0,0,0,0,0,0
rxn_12254,0,1,0,0,0,0,0,0
BIOTINLIG_RXN,0,1,0,1,0,0,0,0
ADOMET_DMK_METHYLTRANSFER_RXN,1,0,0,0,0,0,0,0
RXN_11061,1,0,0,0,0,0,0,0
RXN_11062,1,0,0,0,0,0,0,0
DIHYDROFOLATE,1,0,0,0,0,0,0,0
3_2_1_147_RXN,1,0,0,0,0,0,0,0
RXN1F_66,0,1,0,0,0,0,0,0
GLYCOLATE_REDUCTASE_RXN,1,0,0,0,0,0,0,0
AMP_DEAMINASE_RXN,1,0,0,0,0,0,0,0
HEMN_RXN,0,1,0,0,0,0,0,0
4_2_3_27_RXN,1,0,0,0,0,0,0,0
1_2_1_2_RXN,0,0,0,1,0,0,0,0
RXN_18234,1,0,0,0,0,0,0,0
PHOSPHORIBULOKINASE_RXN,1,1,0,0,0,0,0,0
2_7_7_44_RXN,1,0,0,0,0,0,0,0
2_4_2_39_RXN,1,0,0,0,0,0,0,0
METHYLACYLYLCOA_HYDROXY_RXN,0,0,0,1,1,0,0,0
DIHYDROPICRED_RXN,1,1,0,0,0,0,0,0
3_5_1_52_RXN,1,1,0,1,0,0,0,0
RXN_8417,1,0,0,0,0,0,0,0
CHLOROPHYLLASE_RXN,1,0,0,0,0,0,0,0
1_PHOSPHATIDYLINOSITOL_3_KINASE_RXN,0,0,1,0,0,0,0,0
PHOSPHOLIPASE_A2_RXN,1,1,0,1,1,0,0,0
MANNKIN_RXN,1,0,0,0,0,0,0,0
1_14_13_77_RXN,1,0,0,0,0,0,0,0
RXN0_5408,1,1,0,0,0,0,0,0
ADENOSYLHOMOCYSTEINASE_RXN,1,1,0,0,0,0,0,0
GALACTURIDYLYLTRANS_RXN,0,1,0,0,0,0,0,0
PRAISOM_RXN,0,1,0,0,0,0,0,0
GLUTAMINYL_PEPTIDE_CYCLOTRANSFERASE_RXN,0,0,0,1,0,0,0,0
GCVP_RXN,1,0,0,0,0,0,0,0
RXN_4606,1,0,0,0,0,0,0,0
RXN_13506,1,0,0,0,0,0,0,0
CATECHOL_OXIDASE_RXN,1,0,0,0,0,0,0,0
